userID;name;email;phone;loyaltyTier;preferences;pastBookings
USR1001;John Smith;john.smith@email.com;+65 9999 9001;BASIC;Window seat, Vegetarian meals;5
USR1002;Sarah Johnson;sarah.johnson@email.com;+65 9999 9002;KRISFLYER_ELITE_SILVER;Aisle seat, Kosher meals;12
USR1003;Michael Brown;michael.brown@email.com;+65 9999 9003;BASIC;Window seat, Halal meals;3
USR1004;Emily Davis;emily.davis@email.com;+65 9999 9004;KRISFLYER_ELITE_GOLD;Aisle seat, Standard meals;18
USR1005;David Wilson;david.wilson@email.com;+65 9999 9005;BASIC;Window seat, Vegan meals;7
USR1006;Jennifer Miller;jennifer.miller@email.com;+65 9999 9006;PPS_CLUB;Window seat, Gluten-free meals;24
USR1007;Robert Garcia;robert.garcia@email.com;+65 9999 9007;KRISFLYER_ELITE_SILVER;Aisle seat, Standard meals;15
USR1008;Lisa Rodriguez;lisa.rodriguez@email.com;+65 9999 9008;BASIC;Window seat, Vegetarian meals;6
USR1009;Christopher Martinez;christopher.martinez@email.com;+65 9999 9009;KRISFLYER_ELITE_GOLD;Aisle seat, Kosher meals;21
USR1010;Amanda Anderson;amanda.anderson@email.com;+65 9999 9010;BASIC;Window seat, Halal meals;4
USR1011;James Taylor;james.taylor@email.com;+65 9999 9011;KRISFLYER_ELITE_SILVER;Aisle seat, Standard meals;13
USR1012;Michelle Thomas;michelle.thomas@email.com;+65 9999 9012;PPS_CLUB;Window seat, Vegan meals;28
USR1013;Daniel Jackson;daniel.jackson@email.com;+65 9999 9013;BASIC;Aisle seat, Diabetic meals;8
USR1014;Jessica White;jessica.white@email.com;+65 9999 9014;KRISFLYER_ELITE_GOLD;Window seat, Standard meals;19
USR1015;Mark Harris;mark.harris@email.com;+65 9999 9015;BASIC;Aisle seat, Vegetarian meals;9
USR1016;Ashley Martin;ashley.martin@email.com;+65 9999 9016;KRISFLYER_ELITE_SILVER;Window seat, Gluten-free meals;16
USR1017;Kevin Thompson;kevin.thompson@email.com;+65 9999 9017;BASIC;Aisle seat, Kosher meals;2
USR1018;Nicole Lee;nicole.lee@email.com;+65 9999 9018;PPS_CLUB;Window seat, Standard meals;25
USR1019;Ryan Clark;ryan.clark@email.com;+65 9999 9019;KRISFLYER_ELITE_GOLD;Aisle seat, Halal meals;22
USR1020;Lauren Lewis;lauren.lewis@email.com;+65 9999 9020;BASIC;Window seat, Vegan meals;11
USR1021;Steven Walker;steven.walker@email.com;+65 9999 9021;KRISFLYER_ELITE_SILVER;Aisle seat, Standard meals;14
USR1022;Karen Hall;karen.hall@email.com;+65 9999 9022;BASIC;Window seat, Vegetarian meals;1
USR1023;Brian Allen;brian.allen@email.com;+65 9999 9023;PPS_CLUB;Aisle seat, Gluten-free meals;30
USR1024;Rebecca Young;rebecca.young@email.com;+65 9999 9024;KRISFLYER_ELITE_GOLD;Window seat, Kosher meals;20
USR1025;Joseph King;joseph.king@email.com;+65 9999 9025;BASIC;Aisle seat, Standard meals;5
USR1026;Stephanie Wright;stephanie.wright@email.com;+65 9999 9026;KRISFLYER_ELITE_SILVER;Window seat, Halal meals;17
USR1027;Gregory Lopez;gregory.lopez@email.com;+65 9999 9027;PPS_CLUB;Aisle seat, Vegan meals;26
USR1028;Rachel Hill;rachel.hill@email.com;+65 9999 9028;BASIC;Window seat, Diabetic meals;10
USR1029;Jonathan Green;jonathan.green@email.com;+65 9999 9029;KRISFLYER_ELITE_GOLD;Aisle seat, Standard meals;23
USR1030;Amy Adams;amy.adams@email.com;+65 9999 9030;BASIC;Window seat, Vegetarian meals;7
